voltage_ratio[-],true_position(de=f0 mm),true_position(de=f2 mm),true_position(de=f4 mm),true_position(de=f6 mm),true_position(de=f8 mm),true_position(de=f10 mm)
-0.580085883,non,-0.0143464,-0.0286928,-0.0430392,-0.0573856,-0.071732
-0.577842276,non,-0.014285867,-0.028571733,-0.0428576,-0.057143467,-0.071429333
-0.575595943,non,-0.014225333,-0.028450667,-0.042676,-0.056901333,-0.071126667
-0.573346898,non,-0.0141648,-0.0283296,-0.0424944,-0.0566592,-0.070824
-0.571095156,non,-0.014104267,-0.028208533,-0.0423128,-0.056417067,-0.070521333
-0.568840731,non,-0.014043733,-0.028087467,-0.0421312,-0.056174933,-0.070218667
-0.566583639,non,-0.0139832,-0.0279664,-0.0419496,-0.0559328,-0.069916
-0.564323894,non,-0.013922667,-0.027845333,-0.041768,-0.055690667,-0.069613333
-0.56206151,non,-0.013862133,-0.027724267,-0.0415864,-0.055448533,-0.069310667
-0.559796502,non,-0.0138016,-0.0276032,-0.0414048,-0.0552064,-0.069008
-0.557528885,non,-0.013741067,-0.027482133,-0.0412232,-0.054964267,-0.068705333
-0.555258673,non,-0.013680533,-0.027361067,-0.0410416,-0.054722133,-0.068402667
-0.55298588,non,-0.01362,-0.02724,-0.04086,-0.05448,-0.0681
-0.55071052,non,-0.013559467,-0.027118933,-0.0406784,-0.054237867,-0.067797333
-0.548432609,non,-0.013498933,-0.026997867,-0.0404968,-0.053995733,-0.067494667
-0.54615216,non,-0.0134384,-0.0268768,-0.0403152,-0.0537536,-0.067192
-0.543869187,non,-0.013377867,-0.026755733,-0.0401336,-0.053511467,-0.066889333
-0.541583704,non,-0.013317333,-0.026634667,-0.039952,-0.053269333,-0.066586667
-0.539295726,non,-0.0132568,-0.0265136,-0.0397704,-0.0530272,-0.066284
-0.537005267,non,-0.013196267,-0.026392533,-0.0395888,-0.052785067,-0.065981333
-0.53471234,non,-0.013135733,-0.026271467,-0.0394072,-0.052542933,-0.065678667
-0.53241696,non,-0.0130752,-0.0261504,-0.0392256,-0.0523008,-0.065376
-0.53011914,non,-0.013014667,-0.026029333,-0.039044,-0.052058667,-0.065073333
-0.527818895,non,-0.012954133,-0.025908267,-0.0388624,-0.051816533,-0.064770667
-0.525516238,non,-0.0128936,-0.0257872,-0.0386808,-0.0515744,-0.064468
-0.523211182,non,-0.012833067,-0.025666133,-0.0384992,-0.051332267,-0.064165333
-0.520903743,non,-0.012772533,-0.025545067,-0.0383176,-0.051090133,-0.063862667
-0.518593932,non,-0.012712,-0.025424,-0.038136,-0.050848,-0.06356
-0.516281765,non,-0.012651467,-0.025302933,-0.0379544,-0.050605867,-0.063257333
-0.513967254,non,-0.012590933,-0.025181867,-0.0377728,-0.050363733,-0.062954667
-0.511650413,non,-0.0125304,-0.0250608,-0.0375912,-0.0501216,-0.062652
-0.509331256,non,-0.012469867,-0.024939733,-0.0374096,-0.049879467,-0.062349333
-0.507009797,non,-0.012409333,-0.024818667,-0.037228,-0.049637333,-0.062046667
-0.504686048,non,-0.0123488,-0.0246976,-0.0370464,-0.0493952,-0.061744
-0.502360022,non,-0.012288267,-0.024576533,-0.0368648,-0.049153067,-0.061441333
-0.500031735,non,-0.012227733,-0.024455467,-0.0366832,-0.048910933,-0.061138667
-0.497701198,non,-0.0121672,-0.0243344,-0.0365016,-0.0486688,-0.060836
-0.495368425,non,-0.012106667,-0.024213333,-0.03632,-0.048426667,-0.060533333
-0.493033429,non,-0.012046133,-0.024092267,-0.0361384,-0.048184533,-0.060230667
-0.490696223,non,-0.0119856,-0.0239712,-0.0359568,-0.0479424,-0.059928
-0.488356822,non,-0.011925067,-0.023850133,-0.0357752,-0.047700267,-0.059625333
-0.486015237,non,-0.011864533,-0.023729067,-0.0355936,-0.047458133,-0.059322667
-0.483671482,non,-0.011804,-0.023608,-0.035412,-0.047216,-0.05902
-0.48132557,non,-0.011743467,-0.023486933,-0.0352304,-0.046973867,-0.058717333
-0.478977513,non,-0.011682933,-0.023365867,-0.0350488,-0.046731733,-0.058414667
-0.476627326,non,-0.0116224,-0.0232448,-0.0348672,-0.0464896,-0.058112
-0.474275021,non,-0.011561867,-0.023123733,-0.0346856,-0.046247467,-0.057809333
